Id,SentenceA,SentenceB,Origin,Logic_label,Commonsense_label,SICK_original,monalog,gkr4nli,langpro,ccg2lambda_easyccg,ccg2lambda_candc
5720,A man is dancing on the ceiling,A great singer is dancing on the ceiling,SICK,N,N,N,N,N,N,N,N
5721,A man is dancing on the ceiling,There is no famous singer dancing on the ceiling,SICK,N,N,N,N,N,N,N,N
5722,A famous singer is dancing on the ceiling,A man is dancing on the ceiling,SICK,N,N,N,N,N,N,N,N
5723,A cow is eating grass,A cow is grazing,SICK,E,E,E,N,N,N,N,N
5724,A cow is eating grass,A cow is not eating grass,SICK,C,C,C,C,C,N,C,C
5725,Hay is being eaten by a cow,A cow is eating hay,SICK,E,E,E,E,E,N,E,N
5726,A cow is not eating hay,A cow is eating hay,SICK,C,C,C,C,C,C,C,C
5727,Hay is being eaten by a cow,A cow is eating grass,SICK,E,E,E,N,N,N,N,N
5728,A cow is eating grass,A cow is not eating hay,SICK,N,N,E,N,N,N,N,N
5729,A cow is eating hay,A cow is grazing,SICK,E,E,E,N,N,N,N,N
5730,A cow is eating hay,A cow is not eating grass,SICK,N,N,N,N,N,N,N,N
5731,A cow is eating grass,A cow is eating hay,SICK,N,N,E,N,N,N,N,N
5732,A man is having lunch,A man is eating,SICK,E,E,E,N,N,N,N,N
5733,A man is puking,A man is eating,SICK,C,C,N,N,E,N,N,N
5734,A woman is dancing gracefully,A woman is dancing,SICK,E,E,E,E,E,E,E,E
5735,A woman is dancing,A woman is sleeping,SICK,N,N,N,N,N,N,N,N
5736,A man is eating,A woman is dancing gracefully,SICK,N,N,N,N,C,N,N,N
5737,A man is eating,A woman is sleeping,SICK,N,N,N,N,N,N,N,N
5738,A man is having lunch,A woman is dancing,SICK,N,N,N,N,N,N,N,N
5739,A woman is dancing,A man is puking,SICK,N,N,N,N,N,N,N,N
5740,A man is eating,A woman is dancing,SICK,N,N,N,N,C,N,N,N
5741,A baby is playing with a doll,A baby is playing with a toy,SICK,E,E,E,E,E,E,E,E
5742,A baby is not playing with a doll,A baby is playing with a doll,SICK,C,C,C,C,C,C,C,C
5743,A tiger cub is playing with a ball,A baby tiger is playing with a ball,SICK,E,E,E,N,E,N,N,N
5744,A baby tiger is playing with a ball,There is no baby tiger playing with a ball,SICK,C,C,C,C,C,N,C,C
5745,A tiger cub is playing with a ball,A baby is playing with a doll,SICK,N,N,N,N,E,N,N,N
5746,A baby is playing with a doll,There is no baby tiger playing with a ball,SICK,N,N,N,N,N,N,N,N
5747,A baby is playing with a toy,A baby tiger is playing with a ball,SICK,N,N,N,N,N,N,N,N
5748,A baby tiger is playing with a ball,A baby is not playing with a doll,SICK,N,N,N,N,C,N,N,N
5749,A baby tiger is playing with a ball,A baby is playing with a doll,SICK,N,N,N,N,E,N,N,N
5750,The man is playing a game on a lawn,The man is playing a game on the grass,SICK,E,E,E,N,N,N,N,E
5751,The man is playing a game on the grass,There is no man playing a game on the grass,SICK,C,C,C,C,C,C,C,C
5752,The rhino is grazing on the grass,The animal is grazing on the grass,SICK,E,E,E,E,E,E,E,E
5753,The rhino is grazing on the grass,There is no rhino grazing on the grass,SICK,C,C,C,C,C,C,N,C
5754,The man is playing a game on the grass,The animal is grazing on the grass,SICK,N,N,N,N,N,N,N,N
5755,The man is playing a game on the grass,There is no rhino grazing on the grass,SICK,N,N,N,N,N,N,N,N
5756,The man is playing a game on a lawn,The rhino is grazing on the grass,SICK,N,N,N,N,N,N,N,N
5757,The rhino is grazing on the grass,There is no man playing a game on the grass,SICK,N,N,N,N,N,N,N,N
5758,The man is playing a game on the grass,The rhino is grazing on the grass,SICK,N,N,N,N,N,N,N,N
5759,A man is talking to a woman,A man and a woman are speaking,SICK,E,E,E,N,E,N,N,N
5760,A man is talking to a boy,A man is talking to a woman,SICK,C,C,N,C,N,N,N,N
5761,A woman is talking to a man,A man is talking to a woman,SICK,N,E,E,N,E,N,N,N
5762,A woman is cracking eggs,A woman is breaking eggs,SICK,E,E,E,E,E,E,E,E
5763,A man is cracking eggs,A woman is cracking eggs,SICK,C,C,N,C,C,N,N,N
5764,A man is talking to a woman,A woman is breaking eggs,SICK,N,N,N,N,N,N,N,N
5765,A man is cracking eggs,A man is talking to a woman,SICK,N,N,N,N,N,N,N,N
5766,A man and a woman are speaking,A woman is cracking eggs,SICK,N,N,N,N,N,N,N,N
5767,A woman is cracking eggs,A man is talking to a boy,SICK,N,N,N,N,N,N,N,N
5768,A woman is talking to a man,A woman is cracking eggs,SICK,N,N,N,N,N,N,N,N
5769,A man is talking to a woman,A woman is cracking eggs,SICK,N,N,N,N,N,N,N,N
5770,A bicycle is being ridden by a man,A man is riding a bicycle,SICK,E,E,E,E,E,E,E,E
5771,A man is riding a bicycle,A man is not riding a bicycle,SICK,C,C,C,C,C,C,C,C
5772,A man is riding an electric bicycle,A person is riding an electric bicycle,SICK,E,E,E,E,E,E,E,E
5773,A man is riding an electric bicycle,There is no man riding an electric bicycle,SICK,C,C,C,C,C,C,C,C
5774,A person is riding an electric bicycle,A man is riding a bicycle,SICK,N,N,N,N,N,N,N,N
5775,A man is riding a bicycle,There is no man riding an electric bicycle,SICK,N,N,N,N,N,N,N,N
5776,A man is riding an electric bicycle,A bicycle is being ridden by a man,SICK,E,E,E,E,E,E,E,E
5777,A man is riding an electric bicycle,A man is not riding a bicycle,SICK,C,C,C,C,C,C,C,C
5778,A man is riding an electric bicycle,A man is riding a bicycle,SICK,E,E,E,E,E,E,E,E
5779,A cat is jumping into a container,A cat is jumping into a box,SICK,N,N,E,N,N,N,N,N
5780,A dog is jumping into a box,A cat is jumping into a box,SICK,N,N,N,N,N,N,N,N
5781,A boy is talking to a leaf,A young man is talking to a leaf,SICK,E,E,E,N,N,N,N,E
5782,An old man is talking to a leaf,A young man is talking to a leaf,SICK,C,C,N,C,C,N,N,N
5783,A boy is talking to a leaf,A cat is jumping into a box,SICK,N,N,N,N,N,N,N,N
5784,An old man is talking to a leaf,A cat is jumping into a box,SICK,N,N,N,N,N,N,N,N
5785,A cat is jumping into a container,A young man is talking to a leaf,SICK,N,N,N,N,N,N,N,N
5786,A young man is talking to a leaf,A dog is jumping into a box,SICK,N,N,N,N,N,N,N,N
5787,A cat is jumping into a box,A young man is talking to a leaf,SICK,N,N,N,N,N,N,N,N
5788,A fish is being cut by a man,A man is cutting a fish,SICK,E,E,E,E,E,E,E,E
5789,There is no man cutting a fish,A man is cutting a fish,SICK,C,C,C,C,C,C,C,C
5790,A man is slicing a fish,A fish is being sliced by a man,SICK,E,E,E,E,E,E,E,E
5791,A man is slicing a fish,A woman is slicing a fish,SICK,C,C,N,C,C,N,N,N
5792,A man is cutting a fish,A fish is being sliced by a man,SICK,E,E,E,N,N,E,E,N
5793,A man is cutting a fish,A woman is slicing a fish,SICK,C,C,N,C,C,N,N,N
5794,A man is slicing a fish,A fish is being cut by a man,SICK,E,E,E,E,E,E,E,E
5795,A man is slicing a fish,There is no man cutting a fish,SICK,C,C,C,C,C,C,C,C
5796,A man is slicing a fish,A man is cutting a fish,SICK,E,E,E,E,E,E,E,E
5797,A person is frying some food,A person is cooking some food,SICK,E,E,E,E,E,E,E,E
5798,A person is not frying,A person is frying some food,SICK,C,C,C,N,C,C,C,C
5799,A person is peeling a potato,A potato is being peeled by a person,SICK,E,E,E,E,E,E,E,E
5800,A person is peeling a potato,There is no person peeling a potato,SICK,C,C,C,C,C,C,C,C
5801,A potato is being peeled by a person,A person is frying some food,SICK,N,N,N,N,N,N,N,N
5802,There is no person peeling a potato,A person is frying some food,SICK,N,N,N,N,N,N,N,N
5803,A person is cooking some food,A person is peeling a potato,SICK,N,N,N,N,N,N,N,N
5804,A person is not frying,A person is peeling a potato,SICK,N,N,N,N,N,N,N,N
5805,A person is frying some food,A person is peeling a potato,SICK,N,N,N,N,N,N,N,N
5806,A man is rowing a canoe,A man is rowing a boat,SICK,E,E,E,E,N,E,E,E
5807,A man is rowing a boat,A woman is rowing a boat,SICK,C,C,N,C,C,N,N,N
5808,A man is shooting with a gun,A man is shooting with a weapon,SICK,E,E,E,E,E,E,E,E
5809,A man is shooting with a bow,A man is shooting with a gun,SICK,C,C,C,N,N,N,N,N
5810,A man is rowing a boat,A man is shooting with a weapon,SICK,N,N,N,N,N,N,N,N
5811,A man is shooting with a bow,A man is rowing a boat,SICK,N,N,N,N,N,N,N,N
5812,A man is shooting with a gun,A man is rowing a canoe,SICK,N,N,N,N,N,N,N,N
5813,A man is shooting with a gun,A woman is rowing a boat,SICK,N,N,N,N,N,N,N,N
5814,A man is rowing a boat,A man is shooting with a gun,SICK,N,N,N,N,N,N,N,N
5815,A woman is cutting a tomato,A woman is slicing a tomato,SICK,E,E,E,N,N,E,E,N
5816,A man is cutting a tomato,A woman is cutting a tomato,SICK,C,C,N,C,C,N,N,N
5817,A woman is dancing near a fire,A woman is dancing near a fireplace,SICK,N,N,N,E,E,E,E,E
5818,A woman is dancing near a fire,There is no woman dancing near a fire,SICK,C,C,C,C,C,C,C,C
5819,A woman is cutting a tomato,A woman is dancing near a fireplace,SICK,N,N,N,N,N,N,N,N
5820,There is no woman dancing near a fire,A woman is cutting a tomato,SICK,N,N,N,N,N,N,N,N
5821,A woman is slicing a tomato,A woman is dancing near a fire,SICK,N,N,N,N,N,N,N,N
5822,A man is cutting a tomato,A woman is dancing near a fire,SICK,N,N,N,N,N,N,N,N
5823,A woman is cutting a tomato,A woman is dancing near a fire,SICK,N,N,N,N,N,N,N,N
5824,A guitar is being played by a girl,A girl is playing a guitar,SICK,E,E,E,E,E,E,E,E
5825,A girl is playing a guitar,A boy is playing a guitar,SICK,C,C,N,C,C,N,N,N
5828,A guitar is being played by a man,A girl is playing a guitar,SICK,N,N,N,N,N,N,N,N
5829,A girl is playing a guitar,A man is not playing a guitar,SICK,N,N,N,N,N,N,N,N
5830,A guitar is being played by a girl,A man is playing a guitar,SICK,N,N,N,N,N,N,N,N
5831,A man is playing a guitar,A boy is playing a guitar,SICK,N,N,N,N,N,N,N,N
5832,A man is playing a guitar,A girl is playing a guitar,SICK,N,N,N,N,N,N,N,N
5833,A man is diving off a rock,A man is diving off a cliff,SICK,E,E,N,N,N,N,N,E
5834,A man is diving off a cliff,There is no man diving off a cliff,SICK,C,C,C,C,C,C,C,C
5835,A man is riding a motorcycle,A motorcycle is being ridden by a man,SICK,E,E,E,E,E,E,E,E
5837,A motorcycle is being ridden by a man,A man is diving off a cliff,SICK,N,N,N,N,N,N,N,N
5838,A man is diving off a cliff,There is no man riding a motorcycle,SICK,N,N,N,N,N,N,N,N
5839,A man is riding a motorcycle,A man is diving off a rock,SICK,N,N,N,N,N,N,N,N
5840,A man is riding a motorcycle,There is no man diving off a cliff,SICK,N,N,N,N,N,N,N,N
5841,A man is diving off a cliff,A man is riding a motorcycle,SICK,N,N,N,N,N,N,N,N
5842,The man is playing the guitar,The man is playing the instrument,SICK,E,E,E,E,E,E,E,E
5843,The woman is playing the guitar,The man is playing the guitar,SICK,C,C,N,C,C,N,N,N
5844,The man is playing the guitar,The person is playing the guitar,SICK,E,E,E,E,E,E,E,E
5845,There is no man playing the guitar,The man is playing the guitar,SICK,C,C,C,C,C,C,C,C
5847,The man is playing the guitar,There is no man playing the guitar,SICK,C,C,C,C,C,C,C,C
5849,The man is playing the guitar,The woman is playing the guitar,SICK,C,C,N,C,C,N,N,N
5851,A woman is boiling noodles in water,Noodles are being boiled in water by a woman,SICK,E,E,E,E,E,E,N,E
5852,A woman is boiling noodles in water,A man is boiling noodles in water,SICK,C,C,N,C,C,N,N,N
5853,Someone is stirring noodles in the water,Someone is stirring food in the water,SICK,E,E,E,E,E,E,E,E
5854,Someone is stirring noodles in the water,Nobody is stirring noodles in the water,SICK,C,C,C,C,Exception,C,C,C
5855,A woman is boiling noodles in water,Someone is stirring food in the water,SICK,N,N,E,N,N,N,N,N
5856,A woman is boiling noodles in water,Nobody is stirring noodles in the water,SICK,N,N,N,N,Exception,N,Exception,N
5857,Someone is stirring noodles in the water,Noodles are being boiled in water by a woman,SICK,N,N,N,N,N,N,N,N
5858,Someone is stirring noodles in the water,A man is boiling noodles in water,SICK,N,N,N,N,N,N,N,N
5859,A woman is boiling noodles in water,Someone is stirring noodles in the water,SICK,N,N,N,N,N,N,N,N
5860,The women are singing and dancing,The persons are singing and dancing,SICK,E,E,E,E,N,E,E,E
5861,The women are not singing and dancing,The women are singing and dancing,SICK,C,C,C,C,C,C,C,C
5862,Two women are dancing and singing in front of a crowd,Two women are dancing and singing in front of many people,SICK,E,E,E,N,N,N,N,N
5863,Two women are dancing and singing in front of a crowd,Two men are dancing and singing in front of a crowd,SICK,C,C,N,N,C,N,N,N
5864,Two women are dancing and singing in front of many people,The women are singing and dancing,SICK,E,E,E,N,N,E,E,E
5865,Two men are dancing and singing in front of a crowd,The women are singing and dancing,SICK,N,N,N,N,N,N,N,N
5866,Two women are dancing and singing in front of a crowd,The persons are singing and dancing,SICK,E,E,E,N,N,E,E,E
5867,The women are not singing and dancing,Two women are dancing and singing in front of a crowd,SICK,C,C,N,N,C,C,C,N
5868,Two women are dancing and singing in front of a crowd,The women are singing and dancing,SICK,E,E,E,N,N,E,E,E
5869,A lemur is biting a person's finger,An animal is biting a person's finger,SICK,E,E,E,E,E,E,E,E
5870,A lemur is licking a person's finger,A lemur is biting a person's finger,SICK,N,N,N,N,N,N,N,N
5871,An animal is biting someone's finger,An animal is biting somebody's hand,SICK,C,N,E,N,E,N,N,N
5873,A lemur is biting a person's finger,An animal is biting somebody's hand,SICK,C,N,N,N,E,N,N,N
5875,An animal is biting a person's finger,An animal is biting someone's finger,SICK,E,E,E,N,E,E,E,E
5876,A lemur is licking a person's finger,An animal is biting someone's finger,SICK,C,C,N,N,N,N,N,N
5877,A lemur is biting a person's finger,An animal is biting someone's finger,SICK,E,E,E,N,E,E,E,E
5878,A boy is skateboarding on a half pipe,A man is skateboarding on a half pipe,SICK,E,N,N,E,E,E,E,E
5879,A man is skateboarding on a half pipe,A girl is skateboarding on a half pipe,SICK,N,N,N,N,N,N,N,N
5880,A skateboarder is doing acrobatics on a half pipe,A skateboarder is doing tricks on a half pipe,SICK,E,E,E,N,N,N,N,N
5881,A skateboarder is falling off a half pipe,A skateboarder is doing tricks on a half pipe,SICK,N,N,N,N,N,N,N,N
5882,A skateboarder is doing acrobatics on a half pipe,A man is skateboarding on a half pipe,SICK,N,N,E,N,N,N,N,N
5883,A man is skateboarding on a half pipe,A skateboarder is falling off a half pipe,SICK,N,N,N,N,N,N,N,N
5884,A skateboarder is doing tricks on a half pipe,A boy is skateboarding on a half pipe,SICK,N,N,N,N,N,N,N,N
5885,A girl is skateboarding on a half pipe,A skateboarder is doing tricks on a half pipe,SICK,N,N,N,N,N,N,N,N
5886,A skateboarder is doing tricks on a half pipe,A man is skateboarding on a half pipe,SICK,E,E,E,N,N,N,N,N
5887,A big dog is running on the ground,A dog is running on the ground,SICK,E,E,E,E,E,E,E,E
5888,A dog is sitting on the ground,A dog is running on the ground,SICK,N,N,N,N,N,N,N,N
5889,The girl is tapping her fingernails,A girl is tapping her fingernails,SICK,E,E,E,E,E,E,E,E
5890,A girl is tapping her fingernails,A boy is tapping his fingernails,SICK,C,C,N,N,C,N,N,N
5891,A dog is running on the ground,The girl is tapping her fingernails,SICK,N,N,N,N,N,N,N,N
5892,A boy is tapping his fingernails,A dog is running on the ground,SICK,N,N,N,N,N,N,N,N
5893,A girl is tapping her fingernails,A big dog is running on the ground,SICK,N,N,N,N,N,N,N,N
5894,A dog is sitting on the ground,A girl is tapping her fingernails,SICK,N,N,N,N,N,N,N,N
5895,A dog is running on the ground,A girl is tapping her fingernails,SICK,N,N,N,N,N,N,N,N
5896,A man and a woman are driving down the road in a car,A man and a woman are driving down the road in an open-air vehicle,SICK,N,N,N,N,N,N,N,N
5897,A man and a woman are driving down the road in an open-air vehicle,Two men are driving down the road in an open-air vehicle,SICK,N,N,N,N,N,N,N,N
5898,A man and a woman are driving down the street in a jeep,Two persons are driving down the street in a jeep,SICK,E,E,E,N,N,N,N,N
5899,A man and a woman are driving down the street in a jeep,A man and a woman are not driving down the street in a jeep,SICK,C,C,C,C,C,C,C,C
5900,A man and a woman are driving down the road in an open-air vehicle,Two persons are driving down the street in a jeep,SICK,N,N,N,N,N,N,N,N
5901,A man and a woman are not driving down the street in a jeep,A man and a woman are driving down the road in an open-air vehicle,SICK,N,N,N,N,N,N,Exception,N
5902,A man and a woman are driving down the street in a jeep,A man and a woman are driving down the road in a car,SICK,E,E,E,E,E,N,N,E
5903,Two men are driving down the road in an open-air vehicle,A man and a woman are driving down the street in a jeep,SICK,N,N,N,N,N,N,N,N
5904,A man and a woman are driving down the street in a jeep,A man and a woman are driving down the road in an open-air vehicle,SICK,N,N,N,N,N,N,N,N
5905,Ingredients are being poured into a bowl by a woman,A woman is pouring ingredients into a bowl,SICK,E,E,E,E,E,E,E,E
5906,There is no woman pouring ingredients into a bowl,A woman is pouring ingredients into a bowl,SICK,C,C,C,C,C,C,C,C
5907,The chef is seasoning the oil,The woman is seasoning the oil,SICK,N,N,N,N,N,N,N,N
5908,The woman is not seasoning the oil,The woman is seasoning the oil,SICK,C,C,C,C,C,C,C,C
5909,A woman is pouring ingredients into a bowl,The chef is seasoning the oil,SICK,N,N,N,N,N,N,N,N
5910,The woman is not seasoning the oil,A woman is pouring ingredients into a bowl,SICK,N,N,N,N,N,N,N,N
5911,Ingredients are being poured into a bowl by a woman,The woman is seasoning the oil,SICK,N,N,N,N,N,N,N,N
5912,The woman is seasoning the oil,There is no woman pouring ingredients into a bowl,SICK,N,N,N,N,N,N,N,N
5913,A woman is pouring ingredients into a bowl,The woman is seasoning the oil,SICK,N,N,N,N,N,N,N,N
5914,A horse is being ridden by a person,A person is riding a horse,SICK,E,E,E,E,E,E,E,E
5915,A person is riding a horse,A person is riding a motorbike,SICK,N,N,N,N,N,N,N,N
5916,Potatoes are being sliced by a woman,A woman is slicing potatoes,SICK,E,E,E,E,E,E,E,E
5917,There is no woman slicing potatoes,A woman is slicing potatoes,SICK,C,C,C,C,C,C,C,C
5918,A person is riding a horse,Potatoes are being sliced by a woman,SICK,N,N,N,N,N,N,N,N
5919,A person is riding a horse,There is no woman slicing potatoes,SICK,N,N,N,N,N,N,N,N
5920,A horse is being ridden by a person,A woman is slicing potatoes,SICK,N,N,N,N,N,N,N,N
5921,A person is riding a motorbike,A woman is slicing potatoes,SICK,N,N,N,N,N,N,N,N
5922,A woman is slicing potatoes,A person is riding a horse,SICK,N,N,N,N,N,N,N,N
5923,The man is training,The man is doing exercises,SICK,N,N,N,N,N,N,N,N
5924,The man is not doing exercises,The man is doing exercises,SICK,C,C,C,C,C,C,C,C
5925,Two men are boxing,Two men are fighting,SICK,E,E,E,E,E,E,N,E
5926,Two men are hugging,Two men are fighting,SICK,N,N,N,N,N,N,N,N
5927,The man is doing exercises,Two men are boxing,SICK,N,N,N,N,N,N,N,N
5928,Two men are hugging,The man is doing exercises,SICK,N,N,N,N,N,N,N,N
5929,The man is training,Two men are fighting,SICK,N,N,N,N,N,N,N,N
5930,The man is not doing exercises,Two men are fighting,SICK,N,N,N,N,N,N,N,N
5931,Two men are fighting,The man is doing exercises,SICK,N,N,N,N,N,N,N,N
5932,A man is putting vegetables into a pot,Vegetables are being put into a pot by a man,SICK,E,E,E,E,E,E,E,E
5933,A man is removing vegetables from a pot,A man is putting vegetables into a pot,SICK,N,N,N,N,N,N,N,N
5934,Someone is pouring ingredients into a pot,Someone is adding ingredients to a pot,SICK,E,E,E,N,N,N,N,N
5935,Nobody is pouring ingredients into a pot,Someone is pouring ingredients into a pot,SICK,C,C,C,C,C,C,C,C
5936,A man is putting vegetables into a pot,Someone is adding ingredients to a pot,SICK,E,E,E,N,N,N,N,N
5937,Nobody is pouring ingredients into a pot,A man is putting vegetables into a pot,SICK,C,C,C,N,C,N,N,N
5938,Vegetables are being put into a pot by a man,Someone is pouring ingredients into a pot,SICK,N,N,E,N,N,N,N,N
5939,Someone is pouring ingredients into a pot,A man is removing vegetables from a pot,SICK,N,N,N,N,N,N,N,N
5940,A man is putting vegetables into a pot,Someone is pouring ingredients into a pot,SICK,N,N,E,N,N,N,N,N
5941,The man is standing on a rocky mountain and gray clouds are in the background,"The man is standing on a mountain, which is rocky, and gray clouds are in the background",SICK,E,E,E,N,E,N,E,E
5942,The man is standing on a rocky mountain and gray clouds are in the background,The man is not standing on a rocky mountain and gray clouds are not in the background,SICK,C,C,C,C,C,C,C,C
5943,"A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background",A topless person with a back pack is in front of a pile of rocks and clouds are in the background,SICK,E,E,E,E,N,E,N,N
5944,A topless person with a back pack is in front of a pile of rocks and clouds are in the background,A fully dressed person is behind a pile of rocks and a clear sky is in the background,SICK,N,N,N,N,N,N,N,N
5945,A black topless person is packing a pile of rocks and a front of clouds are in the background,A topless person with a back pack is in front of a pile of rocks and clouds are in the background,SICK,N,N,N,N,N,N,N,N
5946,"A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background",The man is standing on a rocky mountain and gray clouds are in the background,SICK,N,N,N,N,N,N,N,N
5947,The man is standing on a rocky mountain and gray clouds are in the background,A fully dressed person is behind a pile of rocks and a clear sky is in the background,SICK,N,N,N,N,N,N,N,N
5948,The man is standing on a rocky mountain and gray clouds are in the background,A black topless person is packing a pile of rocks and a front of clouds are in the background,SICK,N,N,N,N,N,N,N,N
5949,A topless person with a back pack is in front of a pile of rocks and clouds are in the background,"The man is standing on a mountain, which is rocky, and gray clouds are in the background",SICK,N,N,N,N,N,N,N,N
5950,The man is not standing on a rocky mountain and gray clouds are not in the background,A topless person with a back pack is in front of a pile of rocks and clouds are in the background,SICK,N,N,N,N,N,Exception,Exception,N
5951,A topless person with a back pack is in front of a pile of rocks and clouds are in the background,The man is standing on a rocky mountain and gray clouds are in the background,SICK,N,N,N,N,N,N,N,N
5952,The dog is catching a ball,A dog is catching a ball,SICK,E,E,E,E,E,E,E,E
5953,A dog is catching a ball,There is no dog catching a ball,SICK,C,C,C,C,C,C,C,C
5954,A dog is furiously chasing a ball through dirt,A dog is chasing a ball through dirt,SICK,E,E,E,E,E,E,E,E
5955,A dog is leaving a ball in the dirt,A dog is chasing a ball through dirt,SICK,C,C,N,N,E,N,N,N
5956,A dog is catching a ball,A dog is furiously chasing a ball through dirt,SICK,N,N,N,N,N,N,N,N
5957,A dog is catching a ball,A dog is leaving a ball in the dirt,SICK,N,N,N,N,N,N,N,N
5958,A dog is chasing a ball through dirt,The dog is catching a ball,SICK,N,N,N,N,E,N,N,N
5959,A dog is chasing a ball through dirt,There is no dog catching a ball,SICK,N,N,N,N,C,N,N,N
5960,A dog is chasing a ball through dirt,A dog is catching a ball,SICK,C,C,E,N,E,N,N,N
5961,A boy in a blue shirt has dirt on his face,A boy in a blue dyed shirt has dirt on his face,SICK,E,E,E,N,N,E,E,N
5962,A topless boy has a clean face,A boy in a blue shirt has dirt on his face,SICK,N,N,N,N,N,N,N,N
5963,A boy has a blue face and dirt on the shirt,A boy in a blue shirt has dirt on his face,SICK,N,N,N,N,E,N,N,N
5964,"A child, who has blond hair, is holding a yellow bottle",A blond child is holding a yellow bottle,SICK,E,E,E,N,E,N,N,N
5965,A blond child is holding a yellow bottle,There is no blond child holding a yellow bottle,SICK,C,C,C,C,C,C,C,C
5966,"A child, who has blond hair, is holding a yellow bottle",A boy in a blue shirt has dirt on his face,SICK,N,N,N,N,N,N,N,N
5967,A boy in a blue shirt has dirt on his face,There is no blond child holding a yellow bottle,SICK,N,N,N,N,N,N,N,N
5968,A boy in a blue dyed shirt has dirt on his face,A blond child is holding a yellow bottle,SICK,N,N,N,N,N,N,N,N
5969,A topless boy has a clean face,A blond child is holding a yellow bottle,SICK,N,N,N,N,N,N,N,N
5970,A blond child is holding a yellow bottle,A boy has a blue face and dirt on the shirt,SICK,N,N,N,N,N,N,N,N
5971,A boy in a blue shirt has dirt on his face,A blond child is holding a yellow bottle,SICK,N,N,N,N,N,N,N,N
5972,A man in a hat is pacing through a store,A man in a hat is walking through a store,SICK,E,E,E,N,N,E,E,E
5973,A man in a hat is walking through a store,A man in a hat is walking past a store,SICK,C,C,N,N,E,N,N,N
5974,A walker is in a hat store for men,A man in a hat is walking through a store,SICK,N,N,N,N,N,N,N,N
5975,The man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,SICK,E,E,E,N,E,N,N,N
5976,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket,SICK,C,C,C,C,C,N,Exception,C
5977,The man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket,A man in a hat is walking through a store,SICK,E,E,E,N,N,N,N,N
5978,A man in a hat is walking through a store,The man in a cowboy hat is not walking through a market and is not putting a hand in his pocket,SICK,N,N,N,N,N,N,N,N
5979,A man in a hat is pacing through a store,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,SICK,N,N,N,N,N,N,N,N
5980,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,A man in a hat is walking past a store,SICK,N,N,N,N,N,N,N,N
5981,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,A walker is in a hat store for men,SICK,N,N,N,N,N,N,N,N
5982,A man in a hat is walking through a store,The man in a cowboy hat is walking through a market and is putting a hand in his pocket,SICK,N,N,N,N,N,N,N,N
5983,A large white crane is flying near the water,"A crane, which is large and white, is flying near the water",SICK,E,E,E,N,E,E,E,E
5984,A large white crane is flying far above the water,A large white crane is flying near the water,SICK,C,C,N,N,E,N,N,N
5985,A white bird is landing swiftly in the water,The white bird is landing swiftly in the water,SICK,E,E,E,E,E,E,E,E
5986,A white bird is swiftly taking off from the water,A white bird is landing swiftly in the water,SICK,N,N,N,N,N,N,N,N
5987,The land near a white bird is being watered swiftly,A white bird is landing swiftly in the water,SICK,N,N,N,N,N,N,N,N
5988,The white bird is landing swiftly in the water,A large white crane is flying near the water,SICK,N,N,N,N,N,N,N,N
5989,A large white crane is flying near the water,A white bird is swiftly taking off from the water,SICK,N,N,N,N,N,N,N,N
5990,The land near a white bird is being watered swiftly,A large white crane is flying near the water,SICK,N,N,N,N,N,N,N,N
5991,A white bird is landing swiftly in the water,"A crane, which is large and white, is flying near the water",SICK,N,N,N,N,N,N,N,N
5992,A large white crane is flying far above the water,A white bird is landing swiftly in the water,SICK,N,N,N,N,N,N,N,N
5993,A white bird is landing swiftly in the water,A large white crane is flying near the water,SICK,N,N,N,N,N,N,N,N
5994,A brown dog is calmly standing in the water,A brown dog is standing in the water,SICK,E,E,E,E,E,E,E,E
5995,There is no brown dog standing in the water,A brown dog is standing in the water,SICK,C,C,C,C,C,N,C,N
5996,A dog with golden fur is in the water,A dog with a golden coat is in the water,SICK,E,E,E,E,E,E,E,E
5997,A dog with golden fur is in the water,A dog with golden fur is out of the water,SICK,C,C,C,N,E,N,N,N
5998,A dog with a golden coat is in the water,A brown dog is standing in the water,SICK,N,N,N,N,N,N,N,N
5999,A dog with golden fur is out of the water,A brown dog is standing in the water,SICK,N,N,N,N,N,N,N,N
6000,A dog with golden fur is in the water,A brown dog is calmly standing in the water,SICK,N,N,N,N,N,N,N,N
6001,There is no brown dog standing in the water,A dog with golden fur is in the water,SICK,N,N,N,N,N,N,N,N
6002,A dog with golden fur is in the water,A brown dog is standing in the water,SICK,N,N,N,N,N,N,N,N
6003,"A girl in a blue shirt, who looks young, is walking on the sidewalk and holding up a pink sign",A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign,SICK,E,E,E,E,E,N,N,N
